ZIP Code,Type,County,Population,Area Code(s)
ZIP Code 10166,Standard,New York,0,212
ZIP Code 10167,Standard,New York,0,212
ZIP Code 10168,Standard,New York,0,212 / 646 / 917 / 929
ZIP Code 10169,Standard,New York,0,212
ZIP Code 10170,Standard,New York,2,646 / 917 / 929
ZIP Code 10171,Standard,New York,0,917 / 646 / 212
ZIP Code 10172,Standard,New York,0,917 / 646 / 212
ZIP Code 10173,Standard,New York,2,212 / 646 / 917
ZIP Code 10174,Standard,New York,0,646 / 917 / 929
ZIP Code 10175,Standard,New York,0,212 / 646 / 917
ZIP Code 10176,Standard,New York,0,212 / 646 / 917
ZIP Code 10177,Standard,New York,0,212
ZIP Code 10178,Standard,New York,0,212 / 917 / 646 / 718
ZIP Code 10179,Unique,New York,0,332 / 929 / 646
ZIP Code 10185,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10199,Standard,New York,9,646 / 718 / 917 / 212 / 332 / 929
ZIP Code 10203,Unique,New York,0,332 / 929 / 646
ZIP Code 10211,Unique,New York,0,332 / 929 / 646
ZIP Code 10212,Unique,New York,0,332 / 929 / 646
ZIP Code 10213,Unique,New York,0,332 / 929 / 646
ZIP Code 10242,P.O. Box,New York,0,646 / 718 / 917 / 212 / 332 / 929
ZIP Code 10249,P.O. Box,New York,0,646 / 718 / 917 / 212 / 332 / 929
ZIP Code 10256,Unique,New York,0,332 / 929 / 646
ZIP Code 10258,Unique,New York,0,332 / 929 / 646
ZIP Code 10259,Unique,New York,0,332 / 929 / 646
ZIP Code 10260,Standard,New York,0,332 / 929 / 646
ZIP Code 10261,Unique,New York,0,332 / 929 / 646
ZIP Code 10265,Standard,New York,0,332 / 929 / 646
ZIP Code 10268,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10269,Unique,New York,0,332 / 929 / 646
ZIP Code 10270,Standard,New York,0,212 / 646 / 917 / 718 / 347 / 929
ZIP Code 10271,Standard,New York,0,212 / 917
ZIP Code 10272,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10273,Unique,New York,0,332 / 929 / 646
ZIP Code 10274,P.O. Box,New York,0,332 / 929 / 646
ZIP Code 10275,Unique,New York,0,332 / 929 / 646
ZIP Code 10276,P.O. Box,New York,0,212 / 646 / 347 / 917 / 718
ZIP Code 10277,Unique,New York,0,212 / 917
ZIP Code 10278,Standard,New York,0,212 / 347 / 917 / 646
ZIP Code 10279,Standard,New York,0,212 / 646 / 917
ZIP Code 10280,Standard,New York,"7,853",212 / 646 / 917 / 347
ZIP Code 10281,Standard,New York,0,212 / 646 / 929 / 917 / 347 / 332
ZIP Code 10282,Standard,New York,"4,783",212 / 646 / 929 / 917 / 347 / 332
ZIP Code 10285,Unique,New York,0,332 / 929 / 646
ZIP Code 10286,Unique,New York,0,332 / 929 / 646
